DISTRICT_NAME,DISTRICT_CODE,IN_DISTRICT_EXPENDITURES,TOTAL_IN_DISTRICT_FTES,IN_DISTRICT_EXPENDITURES_PER_PUPIL,TOTAL_EXPENDITURES,TOTAL_PUPIL_FTES,TOTAL_EXPENDITURES_PER_PUPIL
Edward M. Kennedy Academy For Health Careers: A Horace Mann Charter Public School (District),04520000,13487127.00,367.60,36693.02,13487127.00,367.60,36693.02
Acushnet,00030000,15654209.00,953.70,16414.47,19821813.45,1232.50,16082.52
Rockport,02520000,18695879.04,662.20,28231.56,21813768.75,723.50,30151.82
Stoneham,02840000,48412220.72,2293.20,21111.16,57023777.39,2538.20,22466.02
Advanced Math And Science Academy Charter (District),04300000,15831306.42,965.80,16392.42,15831306.42,965.80,16392.42
Wayland,03150000,62471792.24,2760.00,22634.48,66445067.80,2809.50,23649.81
Boston Collegiate Charter (District),04490000,16528910.89,693.70,23828.20,16528910.89,693.70,23828.20
Whately,03370000,3002949.22,127.30,23592.63,3073657.05,136.30,22551.96
Norwood,02200000,75718206.00,3596.10,21055.94,87948859.39,3764.00,23365.79
East Bridgewater,00830000,35375399.54,2010.80,17592.80,38591739.57,2106.90,18317.20
Lincoln,01570000,32200723.61,1034.20,31135.71,35212044.13,1070.80,32882.98
Old Rochester,07400000,22566902.00,1039.90,21700.10,22889575.00,1063.70,21518.74
Marblehead Community Charter Public (District),04640000,3547512.00,174.00,20386.83,3547512.00,174.00,20386.83
Blackstone Valley Regional Vocational Technical,08050000,31946056.99,1243.50,25689.86,31964956.99,1247.30,25627.16
Springfield Preparatory Charter School (District),35100000,9568931.39,485.10,19724.06,9568931.39,485.10,19724.06
Salem Academy Charter (District),04850000,10049622.86,483.30,20793.33,10049622.86,483.30,20793.33
Wakefield,03050000,67879388.00,3353.60,20240.99,72416871.54,3491.10,20743.16
Truro,03000000,5020021.92,91.30,54980.47,7698463.69,195.10,39451.65
Seekonk,02650000,38476325.80,2059.80,18679.84,42888870.29,2118.50,20244.86
North Reading,02170000,47578748.01,2323.80,20474.69,51712079.31,2378.90,21737.42
Barnstable,00200000,110726896.20,4805.10,23043.70,124892852.20,5474.40,22813.89
Oak Bluffs,02210000,12892017.00,418.40,30814.30,14099716.75,458.20,30770.10
Hancock,01210000,1232507.65,56.40,21835.77,2533237.96,105.50,24001.37
Reading,02460000,72904178.18,3842.40,18973.80,79157531.40,3933.50,20123.77
Pelham,02300000,2915427.00,126.50,23039.77,2950427.00,135.50,21768.12
Marblehead,01680000,54179518.03,2612.00,20742.54,59950402.39,2728.50,21971.61
Bellingham,00250000,41854655.05,2018.60,20734.72,50681157.32,2350.90,21558.48
Norfolk,02080000,19318739.00,1058.10,18258.43,20083810.00,1077.90,18632.25
Berkshire Hills,06180000,35532031.15,1174.40,30255.48,39357790.27,1291.30,30479.20
"Martin Luther King, Jr. Charter School Of Excellence (District)",04920000,7309182.17,357.40,20448.70,7309182.17,357.40,20448.70
Hopedale,01380000,20544144.00,1114.10,18440.49,22235656.88,1160.20,19165.70
Halifax,01180000,9342368.00,548.80,17023.44,12456355.00,614.70,20263.75
