DISTRICT_NAME,DISTRICT_CODE,TOTAL_STUDENTS,PERCENTAGE_GRADUATED,PERCENTAGE_STILL_IN_SCHOOL,PERCENTAGE_NON_GRADUATE_COMPLETORS,PERCENTAGE_HS_EQUIVALENT,PERCENTAGE_DROPPED_OUT,PERCENTAGE_PERMANENTLY_EXCLUDED,IN_DISTRICT_EXPENDITURES,TOTAL_IN_DISTRICT_FTES,IN_DISTRICT_EXPENDITURES_PER_PUPIL,TOTAL_EXPENDITURES,TOTAL_PUPIL_FTES,TOTAL_EXPENDITURES_PER_PUPIL,SALARY_TOTALS,AVERAGE_SALARY,FTE_COUNT,ATTENDANCE_RATE,AVERAGE_NUMBER_ABSENCES,ABSENT_10_OR_MORE_DAYS,ABSENT_10_PERCENT_OR_MORE,ABSENT_20_PERCENT_OR_MORE,UNEXCUSED_OVER_9_DAYS,TOTAL_NUMBER_OF_STAFF,ATTENDANCE_RATE_PERCENTAGE,AVERAGE_NUMBER_OF_ABSENCES,ART_KINDERGARTEN,ART_FIRST_GRADE,ART_SECOND_GRADE,ART_THIRD_GRADE,ART_FOURTH_GRADE,ART_FIFTH_GRADE,ART_SIXTH_GRADE,ART_SEVENTH_GRADE,ART_EIGHTH_GRADE,ART_NINTH_GRADE,ART_TENTH_GRADE,ART_ELEVENTH_GRADE,ART_TWELVETH_GRADE,ART_ALL_GRADES,ELA_AVERAGE_SCALED_SCORE,MATH_AVERAGE_SCALED_SCORE,SCI_AVERAGE_SCALED_SCORE,ELA_E_NUMBER,MATH_E_NUMBER,SCI_E_NUMBER,ELA_E_PERCENTAGE,MATH_E_PERCENTAGE,SCI_E_PERCENTAGE,ELA_M_E_NUMBER,MATH_M_E_NUMBER,SCI_M_E_NUMBER,ELA_M_E_PERCENTAGE,MATH_M_E_PERCENTAGE,SCI_M_E_PERCENTAGE,ELA_M_NUMBER,MATH_M_NUMBER,SCI_M_NUMBER,ELA_M_PERCENTAGE,MATH_M_PERCENTAGE,SCI_M_PERCENTAGE,ELA_N_M_NUMBER,MATH_N_M_NUMBER,SCI_N_M_NUMBER,ELA_N_M_PERCENTAGE,MATH_N_M_PERCENTAGE,SCI_N_M_PERCENTAGE,ELA_PARTICIPATION_RATE_PERCENTAGE,MATH_PARTICIPATION_RATE_PERCENTAGE,SCI_PARTICIPATION_RATE_PERCENTAGE,ELA_P_M_NUMBER,MATH_P_M_NUMBER,SCI_P_M_NUMBER,ELA_P_M_PERCENTAGE,MATH_P_M_PERCENTAGE,SCI_P_M_PERCENTAGE,ELA_SGP,MATH_SGP,ELA_TOTAL_STUDENTS_INCLUDED,MATH_TOTAL_STUDENTS_INCLUDED,SCI_TOTAL_STUDENTS_INCLUDED,ELA_TOTAL_STUDENTS_INCLUDED_IN_SGP,MATH_TOTAL_STUDENTS_INCLUDED_IN_SGP,ART_PARTICIPATION_RATE
Northbridge,02140000,111,84.7,1.8,0.0,1.8,11.7,0.0,33697610.92,1875.3,17969.5,39356844.51,2097.8,18760.78,13166645.0,88664.0,148.5,93.3,11.7,47.3,19.0,4.3,35.9,343.0,94.8,10.1,133.0,165.0,148.0,152.0,150.0,135.0,122.0,127.0,125.0,87.0,89.0,96.0,80.0,1609.0,490.0,490.0,491.0,27.0,24.0,7.0,3.0,3.0,3.0,287.0,290.0,100.0,35.0,35.0,37.0,260.0,266.0,93.0,32.0,32.0,34.0,171.0,156.0,51.0,21.0,19.0,19.0,98.0,98.0,95.0,366.0,376.0,119.0,44.0,46.0,44.0,48.0,47.0,824.0,822.0,270.0,626.0,628.0,14.495495495495495
Medford,01760000,298,90.9,3.4,0.0,0.7,5.0,0.0,94136254.16,4159.7,22630.66,108100078.3,4624.0,23377.91,39545304.0,98518.0,401.4,94.1,10.2,38.1,15.1,3.9,33.0,717.0,100.0,0.0,301.0,348.0,285.0,351.0,335.0,306.0,307.0,293.0,318.0,25.0,95.0,97.0,117.0,3178.0,492.0,492.0,493.0,124.0,94.0,45.0,7.0,5.0,8.0,746.0,643.0,238.0,40.0,35.0,40.0,622.0,549.0,193.0,34.0,30.0,33.0,403.0,354.0,120.0,22.0,19.0,20.0,98.0,98.0,96.0,697.0,840.0,235.0,38.0,46.0,40.0,46.0,49.0,1846.0,1837.0,593.0,1350.0,1358.0,10.664429530201343
Concord-Carlisle,06400000,313,96.8,2.6,0.0,0.3,0.3,0.0,34725127.91,1213.0,28628.0,38630802.16,1258.0,30708.57,13247918.0,126051.0,105.1,95.1,8.6,30.5,10.6,1.8,0.1,228.0,94.8,9.9,,,,,,,,,,201.0,129.0,107.0,178.0,615.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.964856230031949
"Phoenix Academy Public Charter High School, Lawrence (District)",35180000,52,1.9,48.1,0.0,3.8,46.2,0.0,3388139.59,104.4,32444.12,3388139.59,104.4,32444.12,1197596.0,99750.0,12.4,53.1,67.7,88.0,88.6,78.4,0.0,19.0,97.0,5.5,,,,,,,,,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Abby Kelley Foster Charter Public (District),04450000,76,100.0,0.0,0.0,0.0,0.0,0.0,25489056.09,1421.4,17932.99,25489056.09,1421.4,17932.99,10393591.0,83441.0,125.9,96.0,7.1,25.6,7.3,0.8,14.2,214.0,92.7,13.2,121.0,123.0,124.0,126.0,132.0,127.0,128.0,111.0,108.0,80.0,74.0,48.0,53.0,1355.0,490.0,490.0,490.0,26.0,20.0,7.0,4.0,3.0,3.0,242.0,223.0,78.0,33.0,31.0,33.0,216.0,203.0,71.0,30.0,28.0,30.0,120.0,127.0,43.0,16.0,17.0,18.0,100.0,100.0,100.0,366.0,376.0,113.0,50.0,52.0,48.0,51.0,52.0,728.0,726.0,234.0,597.0,596.0,17.82894736842105
Scituate,02640000,205,96.1,2.9,0.0,0.0,1.0,0.0,56069349.24,2743.8,20434.59,60093697.66,2794.0,21508.37,25492203.0,107926.0,236.2,94.9,9.1,36.7,8.6,1.2,11.2,442.0,93.9,11.2,229.0,197.0,244.0,201.0,205.0,235.0,235.0,209.0,181.0,151.0,119.0,94.0,101.0,2401.0,506.0,507.0,507.0,160.0,151.0,57.0,13.0,12.0,14.0,772.0,780.0,267.0,61.0,61.0,64.0,612.0,629.0,210.0,48.0,49.0,51.0,69.0,55.0,18.0,5.0,4.0,4.0,99.0,99.0,99.0,428.0,440.0,130.0,34.0,35.0,31.0,52.0,52.0,1269.0,1275.0,415.0,1034.0,1042.0,11.71219512195122
Fall River,00950000,759,76.8,7.1,0.8,0.4,14.9,0.0,260922821.0,10880.6,23980.53,307277447.3,13005.7,23626.33,71454104.0,82549.0,865.6,91.5,14.2,54.3,27.2,8.6,37.9,2151.0,90.4,16.8,935.0,944.0,995.0,1006.0,882.0,954.0,617.0,685.0,613.0,364.0,368.0,392.0,277.0,9032.0,479.0,480.0,478.0,89.0,87.0,24.0,2.0,2.0,1.0,960.0,912.0,296.0,19.0,18.0,18.0,871.0,825.0,272.0,17.0,16.0,16.0,1871.0,1809.0,666.0,37.0,36.0,39.0,99.0,99.0,98.0,2173.0,2293.0,727.0,43.0,46.0,43.0,46.0,45.0,5004.0,5014.0,1689.0,3477.0,3527.0,11.899868247694334
Millis,01870000,82,96.3,2.4,0.0,0.0,1.2,0.0,24933000.24,1180.4,21123.3,27271545.52,1225.2,22257.96,10353881.0,100915.0,102.6,94.8,9.1,34.8,11.0,1.7,0.0,181.0,93.4,12.4,82.0,96.0,101.0,99.0,83.0,107.0,82.0,96.0,88.0,47.0,16.0,21.0,21.0,939.0,497.0,498.0,497.0,33.0,26.0,11.0,6.0,5.0,6.0,251.0,257.0,96.0,45.0,46.0,48.0,218.0,231.0,85.0,39.0,41.0,43.0,59.0,55.0,31.0,10.0,10.0,16.0,100.0,100.0,100.0,252.0,251.0,72.0,45.0,45.0,36.0,48.0,53.0,562.0,563.0,199.0,444.0,444.0,11.451219512195122
Cohasset,00650000,105,95.2,2.9,0.0,0.0,1.9,0.0,32184950.75,1429.4,22516.49,35254149.68,1461.7,24119.42,12916869.0,97046.0,133.1,95.6,7.7,27.2,5.2,0.6,12.4,242.0,95.7,7.9,105.0,106.0,121.0,125.0,114.0,105.0,106.0,89.0,102.0,76.0,85.0,98.0,93.0,1325.0,511.0,509.0,504.0,132.0,79.0,16.0,20.0,12.0,8.0,471.0,445.0,128.0,73.0,69.0,61.0,339.0,366.0,112.0,52.0,56.0,53.0,37.0,41.0,16.0,6.0,6.0,8.0,100.0,100.0,100.0,140.0,162.0,67.0,22.0,25.0,32.0,62.0,55.0,648.0,648.0,211.0,497.0,499.0,12.619047619047619
Methuen,01810000,541,90.9,2.4,0.7,0.2,5.7,0.0,120926931.2,6602.6,18314.99,144742928.5,7092.0,20409.2,46635301.0,86154.0,541.3,92.3,13.3,47.5,23.9,7.5,30.3,920.0,94.5,10.1,450.0,480.0,470.0,473.0,504.0,517.0,546.0,537.0,545.0,265.0,291.0,319.0,370.0,5767.0,487.0,486.0,485.0,106.0,99.0,26.0,3.0,3.0,2.0,925.0,848.0,282.0,30.0,27.0,27.0,819.0,749.0,256.0,26.0,24.0,24.0,769.0,823.0,287.0,25.0,27.0,27.0,99.0,100.0,99.0,1397.0,1430.0,490.0,45.0,46.0,46.0,48.0,51.0,3091.0,3101.0,1059.0,2403.0,2410.0,10.65988909426987
Dighton-Rehoboth,06500000,172,91.9,4.7,0.0,0.6,2.9,0.0,47064873.0,2584.9,18207.74,50237123.62,2683.6,18720.05,19048403.0,91054.0,209.2,94.1,10.4,41.6,14.4,2.9,25.0,369.0,93.9,10.6,193.0,213.0,195.0,197.0,227.0,192.0,213.0,207.0,213.0,86.0,72.0,112.0,127.0,2247.0,496.0,495.0,500.0,61.0,57.0,29.0,5.0,5.0,7.0,554.0,495.0,212.0,44.0,40.0,52.0,493.0,438.0,183.0,40.0,35.0,45.0,144.0,140.0,31.0,12.0,11.0,8.0,99.0,99.0,100.0,548.0,609.0,162.0,44.0,49.0,40.0,51.0,51.0,1246.0,1244.0,405.0,1011.0,1008.0,13.063953488372093
Montachusett Regional Vocational Technical,08320000,345,98.6,0.6,0.0,0.0,0.9,0.0,36386360.18,1426.8,25501.68,36639398.6,1471.0,24907.27,11732457.0,98675.0,118.9,95.8,7.3,25.4,7.9,1.3,1.5,198.0,92.5,14.2,,,,,,,,,,115.0,32.0,26.0,41.0,214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6202898550724638
Avon,00180000,60,90.0,5.0,0.0,0.0,5.0,0.0,15005320.0,737.4,20350.34,16139567.0,771.4,20921.17,6396411.0,84497.0,75.7,94.9,8.9,30.7,11.6,2.9,16.2,133.0,94.2,9.7,50.0,46.0,56.0,54.0,50.0,49.0,50.0,62.0,59.0,33.0,29.0,24.0,44.0,606.0,488.0,487.0,486.0,14.0,12.0,3.0,4.0,4.0,3.0,107.0,93.0,29.0,32.0,28.0,26.0,93.0,81.0,26.0,28.0,24.0,23.0,80.0,84.0,27.0,24.0,25.0,24.0,99.0,98.0,99.0,145.0,157.0,56.0,44.0,47.0,50.0,43.0,41.0,332.0,334.0,112.0,262.0,266.0,10.1
Mendon-Upton,07100000,161,93.8,2.5,0.0,0.6,3.1,0.0,42141747.0,2073.5,20324.13,46192266.18,2161.0,21375.71,14701401.0,91256.0,161.1,94.9,9.0,36.0,10.7,1.9,20.8,335.0,93.2,11.9,164.0,172.0,167.0,161.0,160.0,169.0,151.0,156.0,133.0,63.0,77.0,51.0,95.0,1719.0,497.0,500.0,498.0,54.0,73.0,16.0,5.0,7.0,5.0,476.0,495.0,150.0,48.0,50.0,50.0,422.0,422.0,134.0,43.0,43.0,45.0,112.0,98.0,35.0,11.0,10.0,12.0,99.0,100.0,99.0,399.0,399.0,116.0,40.0,40.0,39.0,53.0,51.0,987.0,992.0,301.0,781.0,783.0,10.677018633540373
Weston,03300000,173,97.7,2.3,0.0,0.0,0.0,0.0,61272627.18,2058.8,29760.93,64876656.8,2081.3,31170.97,22150604.0,127449.0,173.8,95.2,8.6,34.1,7.8,1.0,4.3,435.0,93.1,12.1,133.0,121.0,172.0,166.0,161.0,158.0,162.0,136.0,160.0,155.0,141.0,120.0,79.0,1864.0,514.0,516.0,512.0,224.0,248.0,72.0,24.0,26.0,23.0,718.0,724.0,236.0,76.0,77.0,74.0,494.0,476.0,164.0,52.0,50.0,52.0,41.0,40.0,15.0,4.0,4.0,5.0,99.0,100.0,99.0,183.0,181.0,66.0,19.0,19.0,21.0,55.0,51.0,942.0,945.0,317.0,710.0,711.0,10.77456647398844
Lynn,01630000,1716,75.6,3.9,0.2,0.0,20.2,0.0,361490566.0,16296.3,22182.43,417050707.3,18628.2,22388.18,131394358.0,100141.0,1312.1,91.0,15.2,54.4,30.8,11.0,9.8,2651.0,90.6,17.3,1130.0,1162.0,1265.0,1239.0,1176.0,1108.0,1137.0,1181.0,875.0,542.0,567.0,589.0,534.0,12505.0,478.0,478.0,480.0,70.0,95.0,26.0,1.0,1.0,1.0,1142.0,981.0,405.0,17.0,14.0,19.0,1072.0,886.0,379.0,16.0,13.0,18.0,2625.0,2620.0,757.0,39.0,39.0,35.0,99.0,99.0,99.0,3008.0,3175.0,1002.0,44.0,47.0,46.0,49.0,50.0,6775.0,6776.0,2164.0,4934.0,4989.0,7.287296037296037
Mount Greylock,07150000,72,95.8,0.0,0.0,0.0,4.2,0.0,26194818.33,1206.9,21704.52,27566960.68,1268.7,21729.2,9281301.0,83842.0,110.7,94.9,9.0,35.6,11.2,1.8,11.4,230.0,92.9,12.9,75.0,75.0,79.0,97.0,77.0,86.0,101.0,47.0,42.0,82.0,60.0,37.0,44.0,902.0,502.0,500.0,500.0,51.0,48.0,17.0,9.0,8.0,9.0,312.0,279.0,101.0,55.0,49.0,52.0,261.0,231.0,84.0,46.0,41.0,43.0,49.0,50.0,16.0,9.0,9.0,8.0,99.0,99.0,99.0,206.0,237.0,79.0,36.0,42.0,40.0,49.0,44.0,567.0,566.0,196.0,445.0,442.0,12.527777777777779
Bridgewater-Raynham,06250000,412,93.4,3.4,0.0,0.2,2.9,0.0,90799787.39,5630.9,16125.14,98552168.51,5871.9,16783.64,34944121.0,100270.0,348.5,94.6,9.4,38.0,10.8,2.0,5.3,615.0,93.5,11.7,411.0,447.0,450.0,485.0,458.0,452.0,468.0,466.0,449.0,158.0,48.0,95.0,163.0,4550.0,492.0,494.0,490.0,101.0,117.0,19.0,4.0,4.0,2.0,990.0,1081.0,303.0,36.0,39.0,34.0,889.0,964.0,284.0,32.0,35.0,32.0,472.0,376.0,155.0,17.0,14.0,17.0,99.0,99.0,99.0,1287.0,1291.0,433.0,47.0,47.0,49.0,44.0,46.0,2749.0,2748.0,891.0,2157.0,2161.0,11.04368932038835
Silver Lake,07600000,256,97.7,2.0,0.0,0.0,0.4,0.0,36228373.0,1580.2,22926.77,37847260.79,1681.6,22507.17,13239880.0,103356.0,128.1,93.6,11.2,46.0,17.1,3.7,21.7,269.0,93.7,11.3,,,,,,,,269.0,243.0,111.0,109.0,124.0,132.0,988.0,497.0,499.0,490.0,41.0,32.0,9.0,8.0,6.0,3.0,236.0,258.0,88.0,44.0,48.0,32.0,195.0,226.0,79.0,36.0,42.0,29.0,69.0,53.0,46.0,13.0,10.0,17.0,98.0,99.0,99.0,230.0,225.0,138.0,43.0,42.0,51.0,43.0,55.0,535.0,536.0,272.0,520.0,522.0,3.859375
Westport,03310000,96,96.9,0.0,0.0,1.0,2.1,0.0,27758105.0,1531.6,18123.07,30644693.42,1669.0,18361.35,10335657.0,83017.0,124.5,93.8,10.9,43.8,15.2,2.8,27.4,260.0,93.5,12.0,106.0,119.0,116.0,113.0,113.0,121.0,129.0,122.0,126.0,68.0,59.0,43.0,48.0,1283.0,490.0,490.0,496.0,10.0,21.0,14.0,1.0,3.0,6.0,230.0,211.0,106.0,32.0,29.0,43.0,220.0,190.0,92.0,30.0,26.0,37.0,134.0,136.0,31.0,18.0,19.0,13.0,100.0,99.0,99.0,365.0,380.0,110.0,50.0,52.0,45.0,43.0,42.0,729.0,727.0,247.0,580.0,581.0,13.364583333333334
Bristol-Plymouth Regional Vocational Technical,08100000,313,98.4,0.0,0.0,0.0,1.6,0.0,32213555.2,1300.3,24773.41,32288054.19,1311.3,24622.41,11399136.0,109818.0,103.8,95.1,8.7,34.8,8.8,1.5,21.6,160.0,92.7,13.6,,,,,,,,,,176.0,22.0,19.0,24.0,241.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7699680511182109
Westford,03260000,375,97.9,1.6,0.0,0.3,0.3,0.0,83869681.0,4645.5,18054.07,91389543.31,4744.4,19262.69,33341992.0,90677.0,367.7,95.2,8.6,33.6,9.9,1.3,9.9,728.0,94.3,10.5,272.0,286.0,331.0,313.0,357.0,349.0,363.0,364.0,359.0,263.0,233.0,153.0,175.0,3818.0,505.0,510.0,508.0,258.0,397.0,124.0,12.0,19.0,18.0,1302.0,1467.0,488.0,62.0,70.0,69.0,1044.0,1070.0,364.0,50.0,51.0,51.0,166.0,142.0,52.0,8.0,7.0,7.0,99.0,99.0,99.0,636.0,495.0,168.0,30.0,24.0,24.0,52.0,54.0,2104.0,2104.0,708.0,1694.0,1696.0,10.181333333333333
Natick,01980000,393,94.9,2.3,0.3,0.3,2.3,0.0,107569766.6,5314.7,20239.94,118488824.4,5442.2,21772.31,46071273.0,100680.0,457.6,95.7,7.6,26.5,8.7,2.3,0.0,918.0,93.9,11.1,378.0,363.0,362.0,436.0,376.0,403.0,431.0,411.0,416.0,376.0,283.0,211.0,254.0,4700.0,506.0,508.0,506.0,342.0,408.0,125.0,14.0,17.0,15.0,1551.0,1583.0,514.0,63.0,64.0,63.0,1209.0,1175.0,389.0,49.0,48.0,48.0,215.0,189.0,65.0,9.0,8.0,8.0,99.0,100.0,99.0,697.0,699.0,239.0,28.0,28.0,29.0,55.0,56.0,2463.0,2471.0,818.0,1930.0,1936.0,11.959287531806616
Sturgis Charter Public (District),04890000,198,98.0,0.5,0.0,0.5,1.0,0.0,16265942.58,824.7,19722.51,16265942.58,824.7,19722.51,7598034.0,86960.0,88.1,92.7,12.7,54.3,23.9,4.2,26.3,153.0,96.2,6.8,,,,,,,,,,214.0,215.0,83.0,90.0,602.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.04040404040404
Medway,01770000,176,93.2,1.7,0.0,0.6,4.5,0.0,39540845.0,2180.4,18134.95,43630240.31,2283.1,19109.68,14517869.0,90793.0,159.9,94.9,9.0,33.1,9.4,2.3,18.9,331.0,94.3,10.5,146.0,167.0,171.0,171.0,171.0,176.0,164.0,170.0,156.0,126.0,94.0,112.0,129.0,1953.0,503.0,505.0,506.0,93.0,112.0,46.0,9.0,11.0,14.0,590.0,603.0,211.0,58.0,60.0,62.0,497.0,491.0,165.0,49.0,49.0,49.0,88.0,65.0,24.0,9.0,6.0,7.0,99.0,99.0,100.0,331.0,344.0,104.0,33.0,34.0,31.0,48.0,48.0,1009.0,1012.0,339.0,814.0,814.0,11.096590909090908
Hampden Charter School of Science (District),04990000,116,94.0,1.7,0.0,0.9,3.4,0.0,9737298.0,540.4,18017.69,9737298.0,540.4,18017.69,3733229.0,86120.0,47.0,93.8,10.9,47.8,15.3,2.3,16.1,125.0,94.7,9.8,,,,,,,139.0,151.0,146.0,43.0,66.0,76.0,81.0,702.0,494.0,489.0,489.0,28.0,15.0,3.0,7.0,4.0,2.0,184.0,114.0,52.0,43.0,27.0,36.0,156.0,99.0,49.0,37.0,23.0,34.0,84.0,79.0,31.0,20.0,19.0,22.0,100.0,100.0,100.0,158.0,233.0,60.0,37.0,55.0,42.0,49.0,47.0,426.0,426.0,143.0,403.0,402.0,6.051724137931035
Leicester,01510000,89,91.0,5.6,0.0,0.0,3.4,0.0,25072178.09,1297.1,19329.08,30642641.37,1497.3,20464.61,8344828.0,76840.0,108.6,93.8,10.5,42.5,16.7,3.1,1.0,259.0,91.4,15.4,89.0,79.0,93.0,108.0,98.0,97.0,95.0,115.0,85.0,63.0,55.0,88.0,64.0,1129.0,487.0,488.0,494.0,12.0,14.0,5.0,2.0,2.0,3.0,167.0,154.0,68.0,28.0,26.0,37.0,155.0,140.0,63.0,26.0,23.0,34.0,129.0,128.0,23.0,22.0,21.0,13.0,99.0,99.0,98.0,302.0,316.0,92.0,51.0,53.0,50.0,47.0,46.0,598.0,598.0,183.0,449.0,450.0,12.685393258426966
Monson,01910000,30,80.0,10.0,0.0,3.3,6.7,0.0,18314922.0,807.8,22674.0,20772882.85,910.0,22827.26,6112078.0,69455.0,88.0,93.9,10.7,41.5,15.3,3.0,19.1,169.0,92.7,12.3,53.0,61.0,64.0,59.0,75.0,74.0,74.0,59.0,62.0,13.0,13.0,23.0,10.0,640.0,490.0,487.0,488.0,8.0,4.0,4.0,2.0,1.0,3.0,132.0,98.0,39.0,33.0,25.0,30.0,124.0,94.0,35.0,31.0,24.0,27.0,78.0,76.0,27.0,20.0,19.0,20.0,97.0,96.0,92.0,190.0,224.0,66.0,48.0,56.0,50.0,44.0,53.0,400.0,398.0,132.0,327.0,327.0,21.333333333333332
Rockland,02510000,143,85.3,4.9,0.0,0.0,9.8,0.0,45236282.53,2138.6,21152.56,51583097.81,2300.6,22421.14,16372914.0,93399.0,175.3,93.0,12.3,48.3,19.2,5.5,39.6,336.0,93.3,12.0,160.0,169.0,165.0,176.0,162.0,180.0,183.0,146.0,189.0,88.0,81.0,58.0,77.0,1834.0,491.0,492.0,492.0,49.0,40.0,23.0,5.0,4.0,6.0,380.0,349.0,138.0,38.0,35.0,38.0,331.0,309.0,115.0,33.0,31.0,32.0,206.0,190.0,73.0,21.0,19.0,20.0,99.0,99.0,98.0,412.0,459.0,148.0,41.0,46.0,41.0,49.0,43.0,998.0,998.0,359.0,773.0,771.0,12.825174825174825
Greater Commonwealth Virtual District,39010000,184,58.7,10.9,0.0,4.3,26.1,0.0,16658908.82,1204.3,13832.4,16658908.82,1204.3,13832.4,6081732.0,81090.0,75.5,93.4,9.6,31.2,26.7,11.8,0.1,160.0,94.8,10.1,18.0,39.0,39.0,48.0,41.0,55.0,97.0,109.0,120.0,74.0,56.0,76.0,98.0,870.0,486.0,480.0,490.0,10.0,4.0,2.0,3.0,1.0,1.0,108.0,57.0,49.0,28.0,14.0,31.0,98.0,53.0,47.0,25.0,13.0,30.0,88.0,124.0,20.0,23.0,30.0,13.0,84.0,86.0,86.0,195.0,230.0,88.0,50.0,56.0,56.0,51.0,47.0,391.0,411.0,157.0,240.0,241.0,4.728260869565218
Hudson,01410000,191,87.4,5.8,0.0,0.5,6.3,0.0,53175233.64,2390.7,22242.12,62713516.33,2672.0,23470.9,21526059.0,92228.0,233.4,93.7,10.8,40.8,17.2,4.8,29.5,514.0,92.3,13.9,202.0,200.0,183.0,186.0,175.0,202.0,167.0,191.0,172.0,117.0,85.0,91.0,113.0,2084.0,491.0,488.0,488.0,52.0,28.0,10.0,5.0,3.0,3.0,401.0,304.0,121.0,38.0,28.0,32.0,349.0,276.0,111.0,33.0,26.0,29.0,214.0,246.0,87.0,20.0,23.0,23.0,99.0,99.0,99.0,454.0,522.0,171.0,42.0,49.0,45.0,49.0,46.0,1069.0,1072.0,379.0,831.0,834.0,10.910994764397905
Boston Preparatory Charter Public (District),04160000,75,96.0,4.0,0.0,0.0,0.0,0.0,18891189.64,695.8,27148.75,18891189.64,695.8,27148.75,5098588.0,85336.0,64.0,91.1,15.9,56.3,25.6,9.0,35.3,141.0,93.3,11.7,,,,,,,83.0,102.0,113.0,73.0,95.0,50.0,42.0,558.0,480.0,477.0,481.0,2.0,0.0,0.0,1.0,0.0,0.0,51.0,41.0,21.0,18.0,14.0,19.0,49.0,41.0,21.0,17.0,14.0,19.0,91.0,99.0,33.0,32.0,34.0,30.0,97.0,99.0,98.0,144.0,153.0,57.0,50.0,52.0,51.0,44.0,45.0,286.0,293.0,111.0,265.0,270.0,7.44
Ipswich,01440000,121,95.0,4.1,0.0,0.8,0.0,0.0,40045082.0,1613.9,24812.87,42601807.76,1673.8,25451.41,15756938.0,97085.0,162.3,95.3,8.0,30.9,6.5,1.3,18.5,336.0,94.2,10.6,103.0,123.0,109.0,127.0,106.0,115.0,106.0,134.0,133.0,75.0,97.0,78.0,80.0,1386.0,504.0,502.0,502.0,82.0,56.0,30.0,11.0,8.0,12.0,419.0,386.0,132.0,59.0,54.0,54.0,337.0,330.0,102.0,47.0,46.0,42.0,64.0,58.0,23.0,9.0,8.0,9.0,99.0,99.0,98.0,232.0,276.0,90.0,32.0,38.0,37.0,53.0,50.0,715.0,720.0,245.0,561.0,568.0,11.454545454545455
Wilmington,03420000,152,93.4,3.9,1.3,0.0,1.3,0.0,66537061.89,2775.9,23969.4,74369575.12,2881.6,25808.08,25167924.0,95988.0,262.2,95.3,8.3,30.4,8.9,1.6,12.0,517.0,93.9,11.0,215.0,207.0,237.0,225.0,234.0,237.0,220.0,264.0,201.0,134.0,111.0,127.0,122.0,2534.0,498.0,502.0,502.0,93.0,144.0,59.0,7.0,10.0,13.0,645.0,742.0,249.0,47.0,54.0,56.0,552.0,598.0,190.0,40.0,43.0,43.0,151.0,129.0,53.0,11.0,9.0,12.0,99.0,99.0,99.0,579.0,514.0,144.0,42.0,37.0,32.0,48.0,51.0,1375.0,1385.0,446.0,1110.0,1121.0,16.67105263157895
South Middlesex Regional Vocational Technical,08290000,205,97.1,1.0,0.0,0.0,2.0,0.0,27069622.66,853.1,31732.75,27069622.66,853.1,31732.75,8495475.0,93050.0,91.3,95.0,8.9,34.5,11.5,2.1,15.1,150.0,94.6,10.1,,,,,,,,,,49.0,111.0,113.0,72.0,345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6829268292682926
Martha's Vineyard,07000000,225,84.0,2.2,1.3,0.0,12.4,0.0,28301378.0,734.6,38526.83,32040255.0,778.8,41142.71,10769407.0,135635.0,79.4,93.1,11.6,43.4,17.2,5.5,0.0,143.0,92.4,14.0,,,,,,,,,,114.0,69.0,94.0,87.0,364.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6177777777777778
Tantasqua,07700000,288,95.5,2.4,0.0,0.7,1.4,0.0,31601495.0,1749.3,18065.22,32044256.94,1814.3,17661.97,12501542.0,83678.0,149.4,94.5,9.7,38.9,14.7,3.0,26.7,251.0,94.6,9.6,,,,,,,,277.0,292.0,107.0,186.0,151.0,179.0,1192.0,496.0,497.0,498.0,51.0,49.0,21.0,9.0,8.0,7.0,252.0,257.0,134.0,44.0,44.0,46.0,201.0,208.0,113.0,35.0,36.0,39.0,81.0,72.0,32.0,14.0,12.0,11.0,99.0,99.0,97.0,244.0,250.0,125.0,42.0,43.0,43.0,41.0,37.0,577.0,579.0,291.0,554.0,556.0,4.138888888888889
Marblehead,01680000,248,97.6,2.0,0.0,0.4,0.0,0.0,54179518.03,2612.0,20742.54,59950402.39,2728.5,21971.61,22293150.0,90696.0,245.8,92.7,12.8,62.0,19.1,2.5,5.1,486.0,91.4,15.3,168.0,175.0,190.0,172.0,173.0,184.0,168.0,170.0,207.0,145.0,142.0,111.0,126.0,2131.0,505.0,504.0,501.0,132.0,120.0,33.0,12.0,11.0,8.0,651.0,654.0,218.0,59.0,59.0,53.0,519.0,534.0,185.0,47.0,48.0,45.0,87.0,90.0,32.0,8.0,8.0,8.0,99.0,99.0,99.0,365.0,359.0,158.0,33.0,33.0,39.0,55.0,54.0,1103.0,1103.0,408.0,890.0,890.0,8.59274193548387
